English Name,Hindi Name,Medicinal/General Uses,Pros,Cons
aloe_vera_leaf,घृतकुमारी पत्ता,"Skin healing, cooling, medicinal uses","Heals burns, good for skin, digestion support","May cause allergy in some, bitter taste"
amla_leaf,आंवला पत्ता,"Rich in Vitamin C, antioxidant","Immunity booster, improves digestion","Sour, may cause acidity in excess"
apple_leaf,सेब पत्ता,Traditional medicinal value,"Anti-inflammatory, mild antioxidant",Limited scientific evidence
areca_palm_leaf,सुपारी पाम पत्ता,Used for traditional crafts,"Eco‑friendly plates, biodegradable",No medicinal use
ashoka_leaf,अशोक पत्ता,Women's health supportive,"Balances hormones, reduces pain",Not suitable for pregnant women
banana_leaf,केला पत्ता,Used in cooking & rituals,"Antibacterial surface, eco-friendly","Not edible, breaks when dry"
banyan_leaf,बरगद पत्ता,Religious & medicinal,Helps in diabetes & skin issues,May cause stomach irritation
bougainvillea_leaf,बोगनविलिया पत्ता,Ornamental plant leaf,May help cough and cold,Toxic if taken in excess
coconut_leaf,नारियल पत्ता,Used for weaving,Strong & flexible,No medicinal value
coriander_leaf,धनिया पत्ता,Aromatic herb,"Improves digestion, detoxifying",May cause allergy rarely
cotton_leaf,कॉटन/कपास पत्ता,Traditional use,Helps in skin rashes,Not widely used medicinally
croton_leaf,क्रोटन पत्ता,Ornamental,Air-purifying,Toxic if ingested
eucalyptus_leaf,यूकेलिप्टस पत्ता,"Strong aroma, medicinal","Relieves cold, antibacterial",Toxic if overconsumed
ficus_leaf,अंजीर/फाइकस पत्ता,Traditional remedy,"Good for skin, reduces inflammation",Can irritate skin
giloy_leaf,गिलोय पत्ता,Immunity booster,"Reduces fever, detox",May lower sugar too much
grape_vine_leaf,अंगूर बेल पत्ता,Edible in some cuisines,Rich in antioxidants,Hard to digest raw
guava_leaf,अमरूद पत्ता,Antibacterial,"Controls sugar, boosts immunity",Bitter taste
hibiscus_leaf,गुड़हल पत्ता,Hair care,"Strengthens hair, antioxidant",May lower BP too much
jackfruit_leaf,कटहल पत्ता,Traditional use,"Regulates sugar, anti-inflammatory",Not widely researched
jamun_leaf,जामुन पत्ता,Diabetes friendly,"Controls sugar, improves digestion",Overuse may drop sugar too much
jasmine_leaf,चमेली पत्ता,"Fragrant, medicinal","Good for skin, reduces stress",May irritate sensitive skin
lemongrass_leaf,लेमनग्रास पत्ता,Aromatic herb,"Relieves stress, improves digestion",Strong smell irritates some
maize_leaf,मक्का पत्ता,Agricultural use,Used for crafts & fodder,No medicinal use
mango_leaf,आम पत्ता,Traditional remedy,"Controls diabetes, strengthens vessels",Raw leaves are hard to digest
marigold_leaf,गेंदा पत्ता,Antibacterial,"Heals wounds, anti-inflammatory",May cause skin allergy
mint_leaf,पुदीना पत्ता,Cooling herb,"Improves digestion, freshens breath",Can cause acidity if overused
money_plant_leaf,मनी प्लांट पत्ता,Indoor plant,Air purifier,Mildly toxic to pets
neem_leaf,नीम पत्ता,Strong antibacterial,"Skin cure, detox, anti-fungal","Very bitter, harmful in high dose"
orange_leaf,संतरा पत्ता,Aromatic,"Helps digestion, calming",Limited medicinal proof
papaya_leaf,पपीता पत्ता,Platelet booster,Used for dengue recovery,Can cause stomach irritation
peepal_leaf,पीपल पत्ता,Sacred & medicinal,"Respiratory relief, heart health",May lower BP too much
pomegranate_leaf,अनार पत्ता,Antioxidant-rich,Improves gut health,Mild bitterness
potato_plant_leaf,आलू पत्ता,Not edible,Used in compost,Toxic (solanine)
rice_leaf,धान पत्ता,Agriculture use,Used for handicrafts,No medicinal benefit
rose_leaf,गुलाब पत्ता,Mild medicinal,Good for skin & aroma,Very mild effect
rubber_plant_leaf,रबर प्लांट पत्ता,Indoor plant,Air purifier,Latex may irritate skin
sunflower_leaf,सूरजमुखी पत्ता,Traditional uses,Reduces inflammation,Not commonly consumed
tea_leaf,चाय पत्ता,Strong antioxidant,Improves alertness,Excess caffeine
teak_leaf,सागवान पत्ता,Wood industry,Used for natural dye,Not edible
tulsi_leaf,तुलसी पत्ता,Holy herb,"Boosts immunity, cures cold",May thin blood
turmeric_leaf,हल्दी पत्ता,Used in sweets,Anti-inflammatory,Strong flavor not liked by all
wheat_leaf,गेहूं पत्ता,Used for wheatgrass,Rich in nutrients,Raw taste not liked
